Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
4,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.746,0.754,0.672,1082.8835401535034
4,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.748,0.761,0.685,1082.6728274822235
4,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.755,0.754,0.679,1132.9285740852356
4,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.75,0.739,0.689,1083.3281302452087
4,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.755,0.754,0.705,1082.5380489826202
4,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.755,0.746,0.666,1234.4687588214874
5,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.755,0.754,0.702,1752.7982363700867
5,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.753,0.754,0.692,2111.344521999359
5,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.755,0.746,0.695,1536.0595738887787
5,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.751,0.746,0.675,1534.0010640621185
5,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.757,0.746,0.679,1535.8856744766235
5,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.748,0.754,0.685,1818.237173318863
5,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.751,0.746,0.692,1536.0297327041626
5,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.753,0.739,0.679,1533.6960427761078
5,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.746,0.746,0.679,1082.0085401535034
5,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.751,0.746,0.675,1081.5794327259064
5,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.751,0.746,0.682,1082.080711364746
5,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.755,0.746,0.692,1079.3167388439178
5,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.751,0.746,0.692,1080.0220754146576
5,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.757,0.746,0.698,1082.3630721569061
5,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.757,0.754,0.675,1134.9426324367523
5,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.744,0.754,0.685,1535.4136610031128
6,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.748,0.754,0.679,1531.7239861488342
6,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.755,0.754,0.705,1537.2462286949158
6,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.748,0.761,0.679,1606.6103355884552
6,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.743,0.746,0.662,1603.6615126132965
6,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.748,0.761,0.685,2245.7341322898865
6,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.739,0.754,0.672,2322.287649869919
6,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.746,0.746,0.698,1534.8515152931213
6,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.758,0.761,0.695,1602.1800169944763
6,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.758,0.754,0.685,1183.4516620635986
6,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.753,0.746,0.682,1130.393086194992
6,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.744,0.754,0.659,1283.2544054985046
6,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.758,0.746,0.698,1131.2394354343414
6,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.746,0.746,0.669,1288.1127321720123
