Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
3,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.946,0.694,0.675,1811.254090309143
4,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.937,0.694,0.671,2367.173319578171
4,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.944,0.713,0.688,2266.441257238388
4,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.939,0.667,0.675,2371.965612411499
4,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.951,0.657,0.693,2386.6111319065094
4,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.953,0.694,0.641,2657.1509244441986
4,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.937,0.685,0.662,2546.9589660167694
4,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.937,0.648,0.645,2404.480495452881
4,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.937,0.676,0.688,3427.1949377059937
4,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.944,0.667,0.671,2177.2273466587067
4,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.939,0.648,0.662,1872.7407493591309
4,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.949,0.676,0.671,2127.584174156189
4,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.944,0.685,0.697,1816.9580919742584
4,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.944,0.676,0.684,1810.1926255226135
4,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.944,0.704,0.68,1902.0988957881927
4,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.951,0.657,0.675,2584.918432712555
4,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.942,0.676,0.723,1917.4413001537323
5,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.937,0.722,0.662,2263.0831837654114
5,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.937,0.648,0.68,2738.093957424164
5,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.946,0.704,0.645,2685.6816940307617
5,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.946,0.704,0.658,4308.641675949097
5,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.949,0.667,0.68,6047.064776182175
5,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.949,0.648,0.662,3627.9082181453705
5,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.944,0.685,0.684,2983.746240377426
5,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.939,0.704,0.688,2642.7167847156525
5,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.949,0.667,0.68,2170.2897510528564
5,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.951,0.685,0.706,1967.1044549942017
5,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.942,0.694,0.723,1959.9531145095825
5,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.939,0.694,0.632,2029.1601605415344
5,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.949,0.676,0.714,2120.873042345047
5,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.949,0.694,0.667,1944.7361929416656
5,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.949,0.648,0.632,2033.8232295513153
5,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.946,0.713,0.654,1899.9397501945496
6,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.942,0.685,0.641,2317.768979549408
6,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.946,0.63,0.684,2262.8434331417084
6,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.951,0.657,0.684,2379.8212378025055
6,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.939,0.685,0.68,2369.211070537567
6,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.951,0.639,0.675,3172.6450424194336
6,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.944,0.611,0.671,2600.442628145218
6,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.932,0.713,0.649,2275.9086594581604
6,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.946,0.62,0.654,2967.15043258667
6,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.944,0.694,0.688,2403.9641687870026
6,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.946,0.694,0.658,1815.178627729416
6,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.956,0.676,0.688,1982.6462559700012
6,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.946,0.713,0.671,1812.467180967331
6,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.951,0.75,0.662,1810.9316182136536
6,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.939,0.694,0.654,1814.8346858024597
6,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.939,0.694,0.68,1813.9370141029358
6,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.953,0.648,0.606,1814.1061396598816
7,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.944,0.685,0.658,2258.912041425705
7,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.939,0.731,0.701,2577.077097415924
7,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.942,0.657,0.684,2376.093112707138
7,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.946,0.676,0.671,2271.387799978256
7,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.942,0.648,0.628,2365.161219596863
7,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.939,0.657,0.654,2255.1172058582306
7,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.946,0.713,0.658,2266.3923602104187
7,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.942,0.62,0.68,2263.441320180893
7,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.93,0.694,0.662,1807.8320605754852
7,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.944,0.676,0.671,1899.7827813625336
7,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.951,0.657,0.701,1812.2289702892303
7,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.944,0.685,0.667,1901.6860353946686
7,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.951,0.639,0.688,1811.457069158554
7,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.953,0.694,0.701,1806.5972011089325
7,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.949,0.704,0.667,1890.5903165340424
7,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.942,0.713,0.701,1809.9739909172058
